step,suceptible_status,infected_status,recovered_status,vaccinated_status
0,995,5,0,0
1,994,6,0,0
2,993,7,0,0
3,993,7,0,0
4,992,8,0,0
5,992,8,0,0
6,991,9,0,0
7,991,9,0,0
8,991,9,0,0
9,991,9,0,0
10,991,9,0,0
11,990,10,0,0
12,990,10,0,0
13,989,11,0,0
14,988,12,0,0
15,988,12,0,0
16,988,12,0,0
17,987,13,0,0
18,987,13,0,0
19,986,14,0,0
20,986,14,0,0
21,986,14,0,0
22,986,14,0,0
23,983,17,0,0
24,980,20,0,0
25,979,21,0,0
26,977,23,0,0
27,976,24,0,0
28,975,25,0,0
29,975,25,0,0
30,972,28,0,0
31,971,29,0,0
32,971,29,0,0
33,971,29,0,0
34,970,30,0,0
35,968,32,0,0
36,968,32,0,0
37,966,34,0,0
38,964,36,0,0
39,961,39,0,0
40,959,41,0,0
41,955,45,0,0
42,954,46,0,0
43,950,50,0,0
44,948,52,0,0
45,946,54,0,0
46,944,56,0,0
47,943,57,0,0
48,943,57,0,0
49,940,60,0,0
50,939,61,0,0
51,937,63,0,0
52,936,64,0,0
53,936,64,0,0
54,934,66,0,0
55,934,66,0,0
56,931,69,0,0
57,930,70,0,0
58,930,70,0,0
59,929,71,0,0
60,928,72,0,0
61,927,73,0,0
62,924,76,0,0
63,924,76,0,0
64,924,76,0,0
65,922,78,0,0
66,920,80,0,0
67,917,83,0,0
68,914,86,0,0
69,913,87,0,0
70,912,88,0,0
71,911,89,0,0
72,910,90,0,0
73,908,92,0,0
74,906,94,0,0
75,898,102,0,0
76,897,103,0,0
77,894,106,0,0
78,894,106,0,0
79,893,107,0,0
80,889,111,0,0
81,886,114,0,0
82,885,115,0,0
83,883,117,0,0
84,880,120,0,0
85,877,123,0,0
86,874,126,0,0
87,871,129,0,0
88,868,132,0,0
89,866,134,0,0
90,864,136,0,0
91,862,138,0,0
92,858,142,0,0
93,857,143,0,0
94,853,147,0,0
95,850,150,0,0
96,848,152,0,0
97,845,155,0,0
98,841,159,0,0
99,836,164,0,0
100,834,166,0,0
101,833,167,0,0
102,830,170,0,0
103,829,171,0,0
104,828,172,0,0
105,820,180,0,0
106,819,181,0,0
107,814,186,0,0
108,813,187,0,0
109,810,190,0,0
110,808,192,0,0
111,804,196,0,0
112,803,197,0,0
113,801,199,0,0
114,793,207,0,0
115,792,208,0,0
116,789,211,0,0
117,788,212,0,0
118,786,214,0,0
119,781,219,0,0
120,776,224,0,0
121,769,231,0,0
122,768,232,0,0
123,766,234,0,0
124,765,235,0,0
125,761,239,0,0
126,759,241,0,0
127,756,244,0,0
128,749,251,0,0
129,744,256,0,0
130,736,264,0,0
131,731,269,0,0
132,728,272,0,0
133,723,277,0,0
134,714,286,0,0
135,711,289,0,0
136,704,296,0,0
137,699,301,0,0
138,698,302,0,0
139,689,311,0,0
140,683,317,0,0
141,679,321,0,0
142,675,325,0,0
143,670,330,0,0
144,666,334,0,0
145,663,337,0,0
146,658,342,0,0
147,655,345,0,0
148,651,349,0,0
149,645,355,0,0
150,643,357,0,0
151,641,359,0,0
152,636,364,0,0
153,629,371,0,0
154,623,377,0,0
155,622,378,0,0
156,620,380,0,0
157,617,383,0,0
158,612,388,0,0
159,608,392,0,0
160,601,399,0,0
161,595,405,0,0
162,588,412,0,0
163,582,418,0,0
164,580,420,0,0
165,575,425,0,0
166,571,429,0,0
167,568,432,0,0
168,564,436,0,0
169,561,439,0,0
170,556,444,0,0
171,552,448,0,0
172,545,455,0,0
173,535,465,0,0
174,526,474,0,0
175,518,482,0,0
176,512,488,0,0
177,506,494,0,0
178,502,498,0,0
179,499,501,0,0
180,495,505,0,0
181,492,508,0,0
182,489,511,0,0
183,487,513,0,0
184,483,517,0,0
185,476,524,0,0
186,473,527,0,0
187,472,528,0,0
188,467,533,0,0
189,462,538,0,0
190,454,546,0,0
191,452,548,0,0
192,446,554,0,0
193,445,555,0,0
194,442,558,0,0
195,439,561,0,0
196,430,570,0,0
197,423,577,0,0
198,416,584,0,0
199,413,587,0,0
200,410,590,0,0
201,405,595,0,0
202,403,597,0,0
203,401,599,0,0
204,401,599,0,0
205,396,604,0,0
206,393,607,0,0
207,387,613,0,0
208,385,615,0,0
209,379,621,0,0
210,377,623,0,0
211,374,626,0,0
212,371,629,0,0
213,361,639,0,0
214,359,641,0,0
215,348,652,0,0
216,345,655,0,0
217,341,659,0,0
218,334,666,0,0
219,331,669,0,0
220,329,671,0,0
221,323,677,0,0
222,315,685,0,0
223,308,692,0,0
224,305,695,0,0
225,302,698,0,0
226,297,703,0,0
227,289,711,0,0
228,284,716,0,0
229,276,724,0,0
230,274,726,0,0
231,270,730,0,0
232,268,732,0,0
233,263,737,0,0
234,260,740,0,0
235,256,744,0,0
236,252,748,0,0
237,250,750,0,0
238,245,755,0,0
239,244,756,0,0
240,231,769,0,0
241,227,773,0,0
242,223,777,0,0
243,217,783,0,0
244,210,790,0,0
245,204,796,0,0
246,201,799,0,0
247,195,805,0,0
248,190,810,0,0
249,187,813,0,0
250,181,819,0,0
251,177,823,0,0
252,172,828,0,0
253,168,832,0,0
254,165,835,0,0
255,161,839,0,0
256,158,842,0,0
257,153,847,0,0
258,147,853,0,0
259,142,858,0,0
260,138,862,0,0
261,134,866,0,0
262,131,869,0,0
263,128,872,0,0
264,121,879,0,0
265,117,883,0,0
266,112,888,0,0
267,110,890,0,0
268,107,893,0,0
269,107,893,0,0
270,104,896,0,0
271,103,897,0,0
272,99,901,0,0
273,96,904,0,0
274,93,907,0,0
275,89,911,0,0
276,84,916,0,0
277,83,917,0,0
278,81,919,0,0
279,80,920,0,0
280,79,921,0,0
281,77,923,0,0
282,76,924,0,0
283,74,926,0,0
284,73,927,0,0
285,71,929,0,0
286,68,932,0,0
287,66,934,0,0
288,65,935,0,0
289,63,937,0,0
290,62,938,0,0
291,59,941,0,0
292,56,944,0,0
293,54,946,0,0
294,53,947,0,0
295,53,947,0,0
296,49,951,0,0
297,45,955,0,0
298,45,955,0,0
299,42,958,0,0
300,42,958,0,0
301,40,960,0,0
302,40,960,0,0
303,40,960,0,0
304,39,961,0,0
305,37,963,0,0
306,36,964,0,0
307,36,964,0,0
308,34,966,0,0
309,32,968,0,0
310,31,969,0,0
311,31,969,0,0
312,28,972,0,0
313,28,972,0,0
314,26,974,0,0
315,26,974,0,0
316,25,975,0,0
317,24,976,0,0
318,24,976,0,0
319,24,976,0,0
320,23,977,0,0
321,23,977,0,0
322,21,979,0,0
323,21,979,0,0
324,21,979,0,0
325,21,979,0,0
326,20,980,0,0
327,17,983,0,0
328,17,983,0,0
329,16,984,0,0
330,16,984,0,0
331,14,986,0,0
332,13,987,0,0
333,13,987,0,0
334,13,987,0,0
335,13,987,0,0
336,13,987,0,0
337,13,987,0,0
338,13,987,0,0
339,13,987,0,0
340,13,987,0,0
341,13,987,0,0
342,13,987,0,0
343,13,987,0,0
344,13,987,0,0
345,11,989,0,0
346,11,989,0,0
347,11,989,0,0
348,11,989,0,0
349,10,990,0,0
350,10,990,0,0
351,10,990,0,0
352,10,990,0,0
353,10,990,0,0
354,8,992,0,0
355,8,992,0,0
356,8,992,0,0
357,8,992,0,0
358,8,992,0,0
359,8,992,0,0
360,7,993,0,0
361,6,994,0,0
362,5,995,0,0
363,5,995,0,0
364,5,995,0,0
365,5,995,0,0
366,5,995,0,0
367,5,995,0,0
368,4,996,0,0
369,4,996,0,0
370,4,996,0,0
371,4,996,0,0
372,4,996,0,0
373,4,996,0,0
374,4,996,0,0
375,3,997,0,0
376,3,997,0,0
377,3,997,0,0
378,3,997,0,0
379,2,998,0,0
380,2,998,0,0
381,2,998,0,0
382,2,998,0,0
383,2,998,0,0
384,2,998,0,0
385,2,998,0,0
386,2,998,0,0
387,2,998,0,0
388,2,998,0,0
389,2,998,0,0
390,2,998,0,0
391,2,998,0,0
392,2,998,0,0
393,2,998,0,0
394,1,999,0,0
395,1,999,0,0
396,1,999,0,0
397,1,999,0,0
398,1,999,0,0
399,1,999,0,0
400,1,999,0,0
401,1,999,0,0
402,1,999,0,0
403,1,999,0,0
404,1,999,0,0
405,1,999,0,0
406,1,999,0,0
407,1,999,0,0
408,1,999,0,0
409,1,999,0,0
410,1,999,0,0
411,1,999,0,0
412,1,999,0,0
413,1,999,0,0
414,1,999,0,0
415,1,999,0,0
416,1,999,0,0
417,1,999,0,0
418,1,999,0,0
419,1,999,0,0
420,1,999,0,0
421,1,999,0,0
422,0,1000,0,0
423,0,1000,0,0
