step,infected_status
0,5
1,7
2,8
3,8
4,8
5,8
6,9
7,9
8,9
9,9
10,9
11,10
12,10
13,11
14,11
15,11
16,11
17,13
18,15
19,16
20,16
21,17
22,18
23,21
24,21
25,24
26,29
27,30
28,32
29,34
30,34
31,37
32,38
33,40
34,41
35,42
36,43
37,45
38,48
39,49
40,53
41,56
42,57
43,59
44,60
45,62
46,66
47,69
48,72
49,76
50,78
51,79
52,80
53,80
54,82
55,83
56,86
57,89
58,90
59,95
60,95
61,99
62,101
63,104
64,105
65,106
66,109
67,115
68,120
69,122
70,125
71,129
72,134
73,136
74,141
75,147
76,152
77,156
78,158
79,164
80,168
81,174
82,176
83,181
84,189
85,195
86,204
87,211
88,220
89,223
90,230
91,235
92,241
93,248
94,255
95,259
96,261
97,267
98,272
99,279
100,281
