step,suceptible_status,infected_status,recovered_status,vaccinated_status
0,999,1,0,0
1,999,1,0,0
2,999,1,0,0
3,999,1,0,0
4,999,1,0,0
5,999,1,0,0
6,999,1,0,0
7,999,1,0,0
8,999,1,0,0
9,999,1,0,0
10,999,1,0,0
11,999,1,0,0
12,999,1,0,0
13,999,1,0,0
14,999,1,0,0
15,999,1,0,0
16,999,1,0,0
17,999,1,0,0
18,999,1,0,0
19,999,1,0,0
20,999,1,0,0
21,999,1,0,0
22,999,1,0,0
23,999,1,0,0
24,999,1,0,0
25,999,1,0,0
26,999,1,0,0
27,999,1,0,0
28,999,1,0,0
29,999,1,0,0
30,999,1,0,0
31,999,1,0,0
32,999,1,0,0
33,999,1,0,0
34,999,1,0,0
35,999,1,0,0
36,999,1,0,0
37,999,1,0,0
38,999,1,0,0
39,999,1,0,0
40,999,1,0,0
41,999,1,0,0
42,999,1,0,0
43,999,1,0,0
44,999,1,0,0
45,999,1,0,0
46,999,1,0,0
47,999,1,0,0
48,999,1,0,0
49,999,1,0,0
50,999,1,0,0
51,999,1,0,0
52,999,1,0,0
53,999,1,0,0
54,999,1,0,0
55,999,1,0,0
56,999,1,0,0
57,999,1,0,0
58,999,1,0,0
59,999,1,0,0
60,999,1,0,0
61,999,1,0,0
62,999,1,0,0
63,999,1,0,0
64,999,1,0,0
65,999,1,0,0
66,999,1,0,0
67,999,1,0,0
68,999,1,0,0
69,999,1,0,0
70,999,1,0,0
71,999,1,0,0
72,999,1,0,0
73,999,1,0,0
74,999,1,0,0
75,999,1,0,0
76,999,1,0,0
77,999,1,0,0
78,999,1,0,0
79,999,1,0,0
80,999,1,0,0
81,999,1,0,0
82,999,1,0,0
83,999,1,0,0
84,999,1,0,0
85,999,1,0,0
86,999,1,0,0
87,999,1,0,0
88,999,1,0,0
89,999,1,0,0
90,999,1,0,0
91,999,1,0,0
92,999,1,0,0
93,999,1,0,0
94,999,1,0,0
95,999,1,0,0
96,999,1,0,0
97,999,1,0,0
98,999,1,0,0
99,999,1,0,0
100,999,1,0,0
101,999,1,0,0
102,999,1,0,0
103,999,1,0,0
104,999,1,0,0
105,999,1,0,0
